2016;2;124
2016;1;138
2015;12;113
2015;11;103
2015;10;86
2015;9;47
2015;8;32
2015;7;38
2015;6;39
2015;5;51
2015;4;72
2015;3;116
2015;2;140
2015;1;147
2014;12;136
2014;11;97
2014;10;63
2014;9;43
2014;8;34
2014;7;38
2014;6;39
2014;5;54
2014;4;64
2014;3;101
2014;2;114
2014;1;129
2013;12;140
2013;11;123
2013;10;68
2013;9;45
2013;8;33
2013;7;37
2013;6;43
2013;5;67
2013;4;89
2013;3;139
2013;2;151
2013;1;158
2012;12;141
2012;11;120
2012;10;76
2012;9;44
2012;8;35
2012;7;40
2012;6;43
2012;5;54
2012;4;90
2012;3;108
2012;2;177
2012;1;148
2011;12;136
2011;11;114
2011;10;79
2011;9;47
2011;8;38
2011;7;42
2011;6;44
2011;5;50
2011;4;62
2011;3;122
2011;2;134
2011;1;162
2010;12;182
2010;11;132
2010;10;89
2010;9;49
2010;8;36
2010;7;41
2010;6;44
2010;5;67
2010;4;80
2010;3;138
2010;2;152
2010;1;185
2009;12;154
2009;11;112
2009;10;78
2009;9;45
2009;8;35
2009;7;39
2009;6;40
2009;5;49
2009;4;70
2009;3;125
2009;2;142
2009;1;176
2008;12;156
2008;11;126
2008;10;90
2008;9;52
2008;8;36
2008;7;44
2008;6;45
2008;5;49
2008;4;94
2008;3;137
2008;2;136
2008;1;150
2007;12;163
2007;11;138
2007;10;93
2007;9;51
2007;8;37
2007;7;44
2007;6;45
2007;5;52
2007;4;62
2007;3;130
2007;2;123
2007;1;143
2006;12;149
2006;11;115
2006;10;64
2006;9;44
2006;8;36
2006;7;40
2006;6;44
2006;5;55
2006;4;84
2006;3;148
2006;2;157
2006;1;176
2005;12;170
2005;11;135
2005;10;68
2005;9;50
2005;8;37
2005;7;41
2005;6;44
2005;5;59
2005;4;84
2005;3;133
2005;2;158
2005;1;160
2004;12;164
2004;11;132
2004;10;80
2004;9;49
2004;8;35
2004;7;42
2004;6;45
2004;5;65
2004;4;91
2004;3;141
2004;2;146
2004;1;160
2003;12;152
2003;11;124
2003;10;98
2003;9;48
2003;8;31
2003;7;38
2003;6;39
2003;5;55
2003;4;81
2003;3;114
2003;2;152
2003;1;168
2002;12;138
2002;11;115
2002;10;81
2002;9;50
2002;8;34
2002;7;40
2002;6;44
2002;5;60
2002;4;84
2002;3;117
2002;2;119
2002;1;153
2001;12;165
2001;11;135
2001;10;67
2001;9;54
2001;8;35
2001;7;40
2001;6;43
2001;5;55
2001;4;89
2001;3;114
2001;2;124
2001;1;141
2000;12;125
2000;11;117
2000;10;82
2000;9;45
2000;8;34
2000;7;40
2000;6;42
2000;5;51
2000;4;85
2000;3;113
2000;2;118
2000;1;145
1999;12;135
1999;11;122
1999;10;79
1999;9;43
1999;8;32
1999;7;36
1999;6;41
1999;5;48
1999;4;77
1999;3;103
1999;2;120
1999;1;121
1998;12;129
1998;11;122
1998;10;78
1998;9;45
1998;8;30
1998;7;37
1998;6;40
1998;5;49
1998;4;81
1998;3;98
1998;2;104
1998;1;124
1997;12;118
1997;11;97
1997;10;73
1997;9;41
1997;8;29
1997;7;37
1997;6;38
1997;5;49
1997;4;70
1997;3;82
1997;2;97
1997;1;142
1996;12;126
1996;11;104
1996;10;70
1996;9;45
1996;8;28
1996;7;34
1996;6;36
1996;5;57
1996;4;69
1996;3;102
1996;2;121
1996;1;116
1995;12;116
1995;11;95
1995;10;56
1995;9;43
1995;8;27
1995;7;33
1995;6;40
1995;5;48
1995;4;71
1995;3;99
1995;2;85
1995;1;119
1994;12;99
1994;11;77
1994;10;67
1994;9;45
1994;8;27
1994;7;31
1994;6;35
1994;5;42
1994;4;76
1994;3;78
1994;2;97
1994;1;105
1993;12;102
1993;11;111
1993;10;74
1993;9;43
1993;8;26
1993;7;32
1993;6;35
1993;5;40
1993;4;61
1993;3;87
1993;2;101
1993;1;99
1992;12;99
1992;11;84
1992;10;77
1992;9;39
1992;8;25
1992;7;33
1992;6;34
1992;5;39
1992;4;66
1992;3;81
1992;2;95
1992;1;114
1991;12;109
1991;11;89
1991;10;68
1991;9;34
1991;8;23
1991;7;30
1991;6;37
1991;5;55
1991;4;63
1991;3;70
1991;2;104
1991;1;103
1990;12;108
1990;11;84
1990;10;53
1990;9;37
1990;8;23
1990;7;29
1990;6;32
1990;5;35
1990;4;65
1990;3;70
1990;2;70
1990;1;96
