2016;2;93
2016;1;100
2015;12;99
2015;11;97
2015;10;104
2015;9;107
2015;8;118
2015;7;126
2015;6;117
2015;5;106
2015;4;103
2015;3;103
2015;2;98
2015;1;103
2014;12;101
2014;11;102
2014;10;106
2014;9;112
2014;8;111
2014;7;116
2014;6;118
2014;5;110
2014;4;106
2014;3;104
2014;2;95
2014;1;101
2013;12;95
2013;11;100
2013;10;103
2013;9;130
2013;8;151
2013;7;134
2013;6;119
2013;5;109
2013;4;101
2013;3;99
2013;2;95
2013;1;95
2012;12;91
2012;11;93
2012;10;95
2012;9;117
2012;8;137
2012;7;130
2012;6;117
2012;5;113
2012;4;100
2012;3;104
2012;2;97
2012;1;101
2011;12;92
2011;11;96
2011;10;102
2011;9;113
2011;8;122
2011;7;118
2011;6;111
2011;5;106
2011;4;96
2011;3;90
2011;2;85
2011;1;95
2010;12;93
2010;11;88
2010;10;97
2010;9;106
2010;8;114
2010;7;124
2010;6;104
2010;5;99
2010;4;95
2010;3;93
2010;2;87
2010;1;94
2009;12;92
2009;11;91
2009;10;99
2009;9;105
2009;8;129
2009;7;124
2009;6;110
2009;5;101
2009;4;92
2009;3;93
2009;2;87
2009;1;97
2008;12;89
2008;11;92
2008;10;92
2008;9;103
2008;8;123
2008;7;120
2008;6;103
2008;5;99
2008;4;91
2008;3;93
2008;2;88
2008;1;91
2007;12;88
2007;11;91
2007;10;94
2007;9;102
2007;8;120
2007;7;119
2007;6;112
2007;5;95
2007;4;93
2007;3;88
2007;2;84
2007;1;90
2006;12;90
2006;11;89
2006;10;92
2006;9;103
2006;8;123
2006;7;122
2006;6;120
2006;5;100
2006;4;93
2006;3;89
2006;2;83
2006;1;90
2005;12;91
2005;11;88
2005;10;91
2005;9;106
2005;8;122
2005;7;122
2005;6;116
2005;5;104
2005;4;92
2005;3;96
2005;2;85
2005;1;89
2004;12;89
2004;11;88
2004;10;96
2004;9;110
2004;8;124
2004;7;125
2004;6;119
2004;5;105
2004;4;101
2004;3;100
2004;2;91
2004;1;94
2003;12;95
2003;11;92
2003;10;98
2003;9;111
2003;8;134
2003;7;135
2003;6;118
2003;5;105
2003;4;99
2003;3;95
2003;2;88
2003;1;96
2002;12;89
2002;11;90
2002;10;96
2002;9;104
2002;8;126
2002;7;115
2002;6;112
2002;5;103
2002;4;99
2002;3;96
2002;2;86
2002;1;95
2001;12;93
2001;11;91
2001;10;97
2001;9;107
2001;8;123
2001;7;116
2001;6;111
2001;5;98
2001;4;94
2001;3;94
2001;2;85
2001;1;91
2000;12;88
2000;11;87
2000;10;95
2000;9;106
2000;8;118
2000;7;111
2000;6;106
2000;5;97
2000;4;89
2000;3;89
2000;2;83
2000;1;86
1999;12;88
1999;11;85
1999;10;92
1999;9;105
1999;8;114
1999;7;111
1999;6;104
1999;5;94
1999;4;85
1999;3;86
1999;2;80
1999;1;82
1998;12;89
1998;11;86
1998;10;91
1998;9;101
1998;8;117
1998;7;105
1998;6;104
1998;5;97
1998;4;84
1998;3;86
1998;2;79
1998;1;83
1997;12;89
1997;11;86
1997;10;98
1997;9;109
1997;8;120
1997;7;108
1997;6;103
1997;5;98
1997;4;96
1997;3;90
1997;2;84
1997;1;90
1996;12;91
1996;11;88
1996;10;95
1996;9;105
1996;8;115
1996;7;112
1996;6;115
1996;5;97
1996;4;91
1996;3;90
1996;2;88
1996;1;87
1995;12;93
1995;11;90
1995;10;99
1995;9;106
1995;8;124
1995;7;117
1995;6;107
1995;5;99
1995;4;91
1995;3;91
1995;2;85
1995;1;88
1994;12;93
1994;11;92
1994;10;96
1994;9;99
1994;8;103
1994;7;109
1994;6;102
1994;5;98
1994;4;94
1994;3;95
1994;2;87
1994;1;95
1993;12;92
1993;11;90
1993;10;95
1993;9;97
1993;8;101
1993;7;107
1993;6;100
1993;5;96
1993;4;92
1993;3;93
1993;2;85
1993;1;93
1992;12;89
1992;11;88
1992;10;93
1992;9;95
1992;8;99
1992;7;106
1992;6;99
1992;5;94
1992;4;91
1992;3;91
1992;2;84
1992;1;92
1991;12;88
1991;11;87
1991;10;92
1991;9;93
1991;8;97
1991;7;103
1991;6;96
1991;5;92
1991;4;88
1991;3;88
1991;2;81
1991;1;88
1990;12;84
1990;11;83
1990;10;87
1990;9;88
1990;8;92
1990;7;97
1990;6;90
1990;5;85
1990;4;81
1990;3;81
1990;2;74
1990;1;81
