2016;2;109
2016;1;117
2015;12;106
2015;11;99
2015;10;94
2015;9;81
2015;8;77
2015;7;85
2015;6;83
2015;5;82
2015;4;88
2015;3;108
2015;2;113
2015;1;122
2014;12;114
2014;11;98
2014;10;87
2014;9;81
2014;8;76
2014;7;84
2014;6;80
2014;5;84
2014;4;87
2014;3;103
2014;2;105
2014;1;116
2013;12;114
2013;11;106
2013;10;89
2013;9;83
2013;8;80
2013;7;86
2013;6;82
2013;5;89
2013;4;95
2013;3;114
2013;2;115
2013;1;123
2012;12;113
2012;11;105
2012;10;91
2012;9;81
2012;8;78
2012;7;83
2012;6;81
2012;5;85
2012;4;95
2012;3;104
2012;2;123
2012;1;121
2011;12;112
2011;11;100
2011;10;91
2011;9;83
2011;8;79
2011;7;84
2011;6;83
2011;5;85
2011;4;85
2011;3;109
2011;2;108
2011;1;125
2010;12;129
2010;11;108
2010;10;94
2010;9;84
2010;8;80
2010;7;87
2010;6;84
2010;5;87
2010;4;91
2010;3;113
2010;2;112
2010;1;127
2009;12;116
2009;11;98
2009;10;90
2009;9;80
2009;8;77
2009;7;83
2009;6;80
2009;5;82
2009;4;88
2009;3;107
2009;2;110
2009;1;127
2008;12;119
2008;11;105
2008;10;95
2008;9;86
2008;8;80
2008;7;88
2008;6;85
2008;5;86
2008;4;99
2008;3;111
2008;2;110
2008;1;118
2007;12;118
2007;11;108
2007;10;99
2007;9;85
2007;8;82
2007;7;87
2007;6;86
2007;5;85
2007;4;86
2007;3;109
2007;2;103
2007;1;114
2006;12;115
2006;11;103
2006;10;90
2006;9;84
2006;8;80
2006;7;86
2006;6;86
2006;5;87
2006;4;93
2006;3;113
2006;2;110
2006;1;124
2005;12;121
2005;11;107
2005;10;89
2005;9;85
2005;8;80
2005;7;85
2005;6;86
2005;5;88
2005;4;93
2005;3;109
2005;2;111
2005;1;118
2004;12;118
2004;11;107
2004;10;94
2004;9;85
2004;8;78
2004;7;86
2004;6;85
2004;5;87
2004;4;95
2004;3;112
2004;2;108
2004;1;118
2003;12;114
2003;11;103
2003;10;98
2003;9;82
2003;8;78
2003;7;86
2003;6;83
2003;5;84
2003;4;92
2003;3;102
2003;2;110
2003;1;120
2002;12;109
2002;11;100
2002;10;93
2002;9;83
2002;8;77
2002;7;85
2002;6;83
2002;5;87
2002;4;92
2002;3;101
2002;2;97
2002;1;114
2001;12;113
2001;11;105
2001;10;90
2001;9;84
2001;8;78
2001;7;84
2001;6;82
2001;5;84
2001;4;92
2001;3;101
2001;2;98
2001;1;111
2000;12;102
2000;11;101
2000;10;91
2000;9;81
2000;8;77
2000;7;81
2000;6;79
2000;5;83
2000;4;90
2000;3;101
2000;2;99
2000;1;109
1999;12;106
1999;11;99
1999;10;89
1999;9;80
1999;8;74
1999;7;80
1999;6;78
1999;5;77
1999;4;87
1999;3;96
1999;2;96
1999;1;101
1998;12;103
1998;11;98
1998;10;88
1998;9;76
1998;8;69
1998;7;78
1998;6;77
1998;5;78
1998;4;88
1998;3;94
1998;2;91
1998;1;102
1997;12;99
1997;11;90
1997;10;88
1997;9;77
1997;8;72
1997;7;78
1997;6;76
1997;5;77
1997;4;85
1997;3;86
1997;2;89
1997;1;107
1996;12;102
1996;11;92
1996;10;86
1996;9;77
1996;8;70
1996;7;78
1996;6;76
1996;5;80
1996;4;84
1996;3;96
1996;2;99
1996;1;101
1995;12;97
1995;11;91
1995;10;80
1995;9;77
1995;8;73
1995;7;77
1995;6;76
1995;5;78
1995;4;83
1995;3;96
1995;2;85
1995;1;103
1994;12;95
1994;11;85
1994;10;83
1994;9;76
1994;8;69
1994;7;75
1994;6;74
1994;5;75
1994;4;85
1994;3;87
1994;2;88
1994;1;97
1993;12;96
1993;11;94
1993;10;83
1993;9;74
1993;8;66
1993;7;73
1993;6;72
1993;5;72
1993;4;79
1993;3;91
1993;2;90
1993;1;94
1992;12;93
1992;11;85
1992;10;85
1992;9;72
1992;8;65
1992;7;73
1992;6;71
1992;5;71
1992;4;82
1992;3;89
1992;2;89
1992;1;101
1991;12;96
1991;11;88
1991;10;83
1991;9;69
1991;8;64
1991;7;72
1991;6;70
1991;5;76
1991;4;79
1991;3;82
1991;2;91
1991;1;96
1990;12;93
1990;11;84
1990;10;76
1990;9;68
1990;8;61
1990;7;67
1990;6;66
1990;5;66
1990;4;76
1990;3;78
1990;2;73
1990;1;88
